method,environment,attack,seed,round,eval_return_mean,eval_return_std
FedAvg,Adversary,adaptive,123,15,-20.629540081295428,7.93369430154601
FedAvg,Adversary,adaptive,123,20,-20.063197932464753,6.915111919220597
FedAvg,Adversary,adaptive,123,25,-19.459781660166332,6.3889862648904465
FedAvg,Adversary,adaptive,123,30,-19.791894052113623,6.271903506609461
FedAvg,Adversary,adaptive,123,35,-18.988462312722934,5.75252782479132
FedAvg,Adversary,adaptive,123,40,-18.768275559316944,5.25463961426709
FedAvg,Adversary,adaptive,123,45,-18.38754125648625,5.549753277379779
FedAvg,Adversary,adaptive,123,50,-18.520502378492857,5.493173820382825
FedAvg,Adversary,adaptive,123,55,-18.529315360172657,6.37170211682559
FedAvg,Adversary,adaptive,123,60,-17.701471130131115,5.614999259599221
FedAvg,Adversary,adaptive,123,65,-18.00971149550202,5.610040865445648
FedAvg,Adversary,adaptive,123,70,-18.143540617418303,6.252738606177745
FedAvg,Adversary,adaptive,123,75,-18.089108131069224,6.702938899167897
FedAvg,Adversary,adaptive,123,80,-18.35884542893029,6.636337644816392
FedAvg,Adversary,adaptive,123,85,-18.094336629226603,7.334974556539003
FedAvg,Adversary,adaptive,123,90,-18.100108361725333,6.340686154962777
FedAvg,Adversary,adaptive,123,95,-17.804724842832773,6.631239565917848
FedAvg,Adversary,adaptive,123,100,-17.29924108834525,6.114666497907896
FedAvg,Adversary,adaptive,123,105,-17.56035221224969,6.707267935623603
FedAvg,Adversary,adaptive,123,110,-18.021686141446317,6.881118956235967
FedAvg,Adversary,adaptive,123,115,-17.322088708213247,6.494180368147594
FedAvg,Adversary,adaptive,123,120,-17.760134135614184,7.2110546447392565
FedAvg,Adversary,adaptive,123,125,-18.233989513777892,7.476757651609175
FedAvg,Adversary,adaptive,123,130,-18.351915678087675,7.488592515488395
FedAvg,Adversary,adaptive,123,135,-17.727944040677862,7.336141611273411
FedAvg,Adversary,adaptive,123,140,-18.081159453207505,7.1067381332016915
FedAvg,Adversary,adaptive,123,145,-18.070633586270304,7.006778421342451
FedAvg,Adversary,adaptive,123,150,-17.8733560440991,7.545824341431286
FedAvg,Adversary,adaptive,123,155,-18.28078045693467,7.116377196512274
FedAvg,Adversary,adaptive,123,160,-18.16175510280143,7.5457582342100915
FedAvg,Adversary,adaptive,123,165,-17.914745087501153,7.863200435471726
FedAvg,Adversary,adaptive,123,170,-18.073553946683482,7.470111861126125
FedAvg,Adversary,adaptive,123,175,-18.064183178139526,7.4187615308204675
FedAvg,Adversary,adaptive,123,180,-17.93595908390921,7.511953182099473
FedAvg,Adversary,adaptive,123,185,-18.3071906457203,7.671630734767939
FedAvg,Adversary,adaptive,123,190,-18.27574820293776,7.494868150429951
FedAvg,Adversary,adaptive,123,195,-18.01060672976014,7.381004074082176
FedAvg,Adversary,adaptive,42,0,-22.069797681514096,11.114346683284955
FedAvg,Adversary,adaptive,42,5,-20.880567590133932,8.70030496194009
FedAvg,Adversary,adaptive,42,10,-19.250391124937476,6.371087347080768
FedAvg,Adversary,adaptive,42,15,-18.34949970815719,5.460244276152782
FedAvg,Adversary,adaptive,42,20,-16.917924289992783,5.07081967968293
FedAvg,Adversary,adaptive,42,25,-16.62240612405224,4.955209362494619
FedAvg,Adversary,adaptive,42,30,-17.085298244317094,5.585081145554314
FedAvg,Adversary,adaptive,42,35,-15.90330447944315,5.608123988492603
FedAvg,Adversary,adaptive,42,40,-15.942725680534807,5.071576801357374
FedAvg,Adversary,adaptive,42,45,-15.357386120043273,5.30057250397376
FedAvg,Adversary,adaptive,42,50,-16.176511782892057,5.374755156301765
FedAvg,Adversary,adaptive,42,55,-16.83931708410462,5.21660150175885
FedAvg,Adversary,adaptive,42,60,-16.254442067250753,5.216065598380975
FedAvg,Adversary,adaptive,42,65,-16.47703224231496,4.751306097234749
FedAvg,Adversary,adaptive,42,70,-16.33600085843164,4.950395909633775
FedAvg,Adversary,adaptive,42,75,-16.261774705321596,4.706646771757692
FedAvg,Adversary,adaptive,42,80,-16.53829413257024,4.95325661861147
FedAvg,Adversary,adaptive,42,85,-16.62075887320767,4.769626618966066
FedAvg,Adversary,adaptive,42,90,-16.6735354809251,5.49640546926646
FedAvg,Adversary,adaptive,42,95,-16.45121629016196,5.473723072912464
FedAvg,Adversary,adaptive,42,100,-16.891175497805214,4.8575734042755325
FedAvg,Adversary,adaptive,42,105,-17.083266852312626,5.128813251021488
FedAvg,Adversary,adaptive,42,110,-16.47335044284946,5.673893709241894
FedAvg,Adversary,adaptive,42,115,-16.407464882364614,4.864411107220318
FedAvg,Adversary,adaptive,42,120,-15.970174019797602,4.783476402003588
FedAvg,Adversary,adaptive,42,125,-16.877841147688983,4.810133338426159
FedAvg,Adversary,adaptive,42,130,-16.30566141341946,4.455222280689087
FedAvg,Adversary,adaptive,42,135,-16.550935343302964,5.13861331269399
FedAvg,Adversary,adaptive,42,140,-16.401271338162488,5.3046307234699865
FedAvg,Adversary,adaptive,42,145,-17.484304584564054,5.3227776380466505
FedAvg,Adversary,adaptive,42,150,-16.20477812988847,4.586062627184004
FedAvg,Adversary,adaptive,42,155,-16.782857444990846,5.306240395575349
FedAvg,Adversary,adaptive,42,160,-16.67346659826294,5.401735404973519
FedAvg,Adversary,adaptive,42,165,-16.08295312437261,5.690539516974247
FedAvg,Adversary,adaptive,42,170,-15.937848985314556,5.373687627572702
